CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
CHLD 26 255.949219 1677509361.7969
CHLD 27 255.949219 1677509361.7969
CHLD 28 256.203125 1677509361.7969
CHLD 29 256.199219 1677509361.7969
CHLD 30 255.949219 1677509361.7969
CHLD 31 256.691406 1677509361.7969
CHLD 32 256.691406 1677509361.7969
CHLD 33 255.949219 1677509361.7970
CHLD 34 255.949219 1677509361.7970
CHLD 35 256.027344 1677509361.7970
CHLD 36 258.246094 1677509361.7970
MEM 11797.875000 1677509361.9159
CHLD 0 952.281250 1677509361.9337
CHLD 1 267.023438 1677509361.9337
CHLD 2 268.242188 1677509361.9337
CHLD 3 271.960938 1677509361.9338
CHLD 4 265.597656 1677509361.9338
CHLD 5 272.109375 1677509361.9338
CHLD 6 269.679688 1677509361.9338
CHLD 7 325.269531 1677509361.9338
CHLD 8 266.636719 1677509361.9338
CHLD 9 278.070312 1677509361.9339
CHLD 10 261.175781 1677509361.9339
CHLD 11 265.597656 1677509361.9339
CHLD 12 289.664062 1677509361.9339
CHLD 13 267.359375 1677509361.9339
CHLD 14 297.687500 1677509361.9339
CHLD 15 294.683594 1677509361.9340
CHLD 16 271.417969 1677509361.9340
CHLD 17 268.886719 1677509361.9340
CHLD 18 255.156250 1677509361.9340
CHLD 19 263.929688 1677509361.9340
CHLD 20 259.121094 1677509361.9340
CHLD 21 259.363281 1677509361.9340
CHLD 22 252.398438 1677509361.9341
CHLD 23 256.851562 1677509361.9342
CHLD 24 257.316406 1677509361.9342
CHLD 25 256.363281 1677509361.9342
CHLD 26 256.722656 1677509361.9342
CHLD 27 256.363281 1677509361.9342
CHLD 28 256.371094 1677509361.9342
CHLD 29 256.363281 1677509361.9343
CHLD 30 256.371094 1677509361.9343
CHLD 31 256.363281 1677509361.9343
CHLD 32 256.371094 1677509361.9343
CHLD 33 256.363281 1677509361.9343
CHLD 34 256.230469 1677509361.9343
CHLD 35 256.421875 1677509361.9343
CHLD 36 257.921875 1677509361.9344
CHLD 37 256.757812 1677509361.9344
CHLD 38 251.117188 1677509361.9344
CHLD 39 254.871094 1677509361.9344
CHLD 40 256.453125 1677509361.9344
CHLD 41 256.457031 1677509361.9344
MEM 13357.847656 1677509362.0538
CHLD 0 966.140625 1677509362.0721
CHLD 1 270.582031 1677509362.0721
CHLD 2 268.324219 1677509362.0721
CHLD 3 271.960938 1677509362.0721
CHLD 4 268.812500 1677509362.0722
CHLD 5 272.113281 1677509362.0722
CHLD 6 269.683594 1677509362.0722
CHLD 7 269.011719 1677509362.0722
CHLD 8 266.636719 1677509362.0722
CHLD 9 268.574219 1677509362.0722
CHLD 10 261.257812 1677509362.0723
CHLD 11 265.679688 1677509362.0723
CHLD 12 259.875000 1677509362.0723
CHLD 13 267.359375 1677509362.0723
CHLD 14 260.332031 1677509362.0723
CHLD 15 294.683594 1677509362.0723
CHLD 16 278.406250 1677509362.0724
CHLD 17 266.511719 1677509362.0724
CHLD 18 272.011719 1677509362.0724
CHLD 19 261.257812 1677509362.0724
CHLD 20 269.132812 1677509362.0724
CHLD 21 268.921875 1677509362.0725
CHLD 22 252.953125 1677509362.0725
CHLD 23 256.394531 1677509362.0725
CHLD 24 257.332031 1677509362.0725
CHLD 25 256.386719 1677509362.0725
CHLD 26 256.738281 1677509362.0726
CHLD 27 256.386719 1677509362.0726
CHLD 28 257.140625 1677509362.0726
CHLD 29 258.675781 1677509362.0726
CHLD 30 256.976562 1677509362.0726
CHLD 31 256.527344 1677509362.0726
CHLD 32 256.312500 1677509362.0727
CHLD 33 256.316406 1677509362.0727
CHLD 34 257.035156 1677509362.0727
CHLD 35 256.937500 1677509362.0727
CHLD 36 257.929688 1677509362.0727
CHLD 37 256.757812 1677509362.0727
CHLD 38 251.117188 1677509362.0727
