CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677509254.3192
MEM 23.527344 1677509254.4490
MEM 43.574219 1677509254.5783
MEM 56.089844 1677509254.7074
MEM 72.238281 1677509254.8366
MEM 82.074219 1677509254.9662
MEM 89.828125 1677509255.0960
MEM 101.507812 1677509255.2255
MEM 108.671875 1677509255.3551
MEM 116.566406 1677509255.4845
MEM 121.425781 1677509255.6139
MEM 127.753906 1677509255.7426
MEM 131.351562 1677509255.8712
MEM 135.289062 1677509256.0001
MEM 138.316406 1677509256.1292
MEM 141.375000 1677509256.2578
MEM 166.414062 1677509256.3871
MEM 175.691406 1677509256.5157
MEM 176.160156 1677509256.6446
MEM 186.964844 1677509256.7734
MEM 194.164062 1677509256.9026
MEM 214.761719 1677509257.0315
MEM 248.125000 1677509257.1604
CHLD 0 249.320312 1677509257.1748
MEM 1787.253906 1677509257.2912
CHLD 0 249.320312 1677509257.3058
CHLD 1 256.687500 1677509257.3058
CHLD 2 258.070312 1677509257.3058
CHLD 3 252.332031 1677509257.3058
CHLD 4 256.406250 1677509257.3059
CHLD 5 257.898438 1677509257.3059
CHLD 6 257.898438 1677509257.3059
MEM 3582.578125 1677509257.4246
CHLD 0 249.320312 1677509257.4399
CHLD 1 256.679688 1677509257.4400
CHLD 2 258.109375 1677509257.4400
CHLD 3 253.898438 1677509257.4400
CHLD 4 256.851562 1677509257.4400
CHLD 5 258.105469 1677509257.4400
CHLD 6 258.343750 1677509257.4400
CHLD 7 251.781250 1677509257.4400
CHLD 8 255.679688 1677509257.4401
CHLD 9 255.562500 1677509257.4401
CHLD 10 255.531250 1677509257.4401
CHLD 11 256.945312 1677509257.4401
CHLD 12 258.210938 1677509257.4401
MEM 5113.546875 1677509257.5565
CHLD 0 249.320312 1677509257.5718
CHLD 1 256.679688 1677509257.5719
CHLD 2 261.597656 1677509257.5719
CHLD 3 253.898438 1677509257.5719
CHLD 4 258.503906 1677509257.5719
CHLD 5 258.105469 1677509257.5719
CHLD 6 258.343750 1677509257.5719
CHLD 7 251.781250 1677509257.5720
CHLD 8 255.503906 1677509257.5720
CHLD 9 255.503906 1677509257.5720
CHLD 10 255.496094 1677509257.5720
CHLD 11 257.144531 1677509257.5720
CHLD 12 258.660156 1677509257.5720
CHLD 13 254.152344 1677509257.5720
CHLD 14 257.109375 1677509257.5721
CHLD 15 258.230469 1677509257.5721
CHLD 16 258.035156 1677509257.5721
CHLD 17 250.652344 1677509257.5721
CHLD 18 255.421875 1677509257.5721
CHLD 19 255.417969 1677509257.5721
MEM 6624.324219 1677509257.6891
CHLD 0 253.359375 1677509257.7050
CHLD 1 267.609375 1677509257.7050
CHLD 2 266.390625 1677509257.7051
CHLD 3 270.933594 1677509257.7051
CHLD 4 268.546875 1677509257.7051
CHLD 5 268.730469 1677509257.7051
CHLD 6 267.964844 1677509257.7051
CHLD 7 266.578125 1677509257.7052
CHLD 8 268.691406 1677509257.7052
CHLD 9 309.894531 1677509257.7052
CHLD 10 320.058594 1677509257.7052
CHLD 11 257.144531 1677509257.7052
CHLD 12 258.660156 1677509257.7052
CHLD 13 254.386719 1677509257.7053
CHLD 14 256.859375 1677509257.7053
CHLD 15 258.351562 1677509257.7053
CHLD 16 258.351562 1677509257.7053
CHLD 17 251.882812 1677509257.7053
CHLD 18 255.605469 1677509257.7053
CHLD 19 255.605469 1677509257.7053
CHLD 20 257.031250 1677509257.7054
CHLD 21 258.359375 1677509257.7054
CHLD 22 252.589844 1677509257.7054
CHLD 23 256.421875 1677509257.7054
CHLD 24 257.914062 1677509257.7054
MEM 8378.750000 1677509257.8233
CHLD 0 543.109375 1677509257.8402
CHLD 1 295.941406 1677509257.8402
CHLD 2 266.390625 1677509257.8402
CHLD 3 267.609375 1677509257.8403
CHLD 4 268.546875 1677509257.8403
CHLD 5 262.718750 1677509257.8403
CHLD 6 268.703125 1677509257.8403
CHLD 7 266.578125 1677509257.8403
CHLD 8 296.949219 1677509257.8403
CHLD 9 265.898438 1677509257.8404
CHLD 10 262.339844 1677509257.8404
CHLD 11 258.660156 1677509257.8404
CHLD 12 254.386719 1677509257.8404
CHLD 13 266.000000 1677509257.8404
CHLD 14 258.351562 1677509257.8404
CHLD 15 258.410156 1677509257.8405
CHLD 16 265.769531 1677509257.8405
CHLD 17 255.605469 1677509257.8405
CHLD 18 257.183594 1677509257.8405
CHLD 19 257.144531 1677509257.8405
CHLD 20 258.652344 1677509257.8405
CHLD 21 255.097656 1677509257.8405
CHLD 22 257.585938 1677509257.8406
CHLD 23 258.609375 1677509257.8406
CHLD 24 258.253906 1677509257.8406
CHLD 25 251.011719 1677509257.8406
CHLD 26 255.183594 1677509257.8406
CHLD 27 255.175781 1677509257.8406
CHLD 28 255.175781 1677509257.8406
CHLD 29 252.933594 1677509257.8407
CHLD 30 252.933594 1677509257.8407
MEM 9751.035156 1677509257.9601
CHLD 0 474.644531 1677509257.9781
CHLD 1 266.390625 1677509257.9781
CHLD 2 267.609375 1677509257.9782
CHLD 3 268.546875 1677509257.9782
CHLD 4 262.718750 1677509257.9782
CHLD 5 268.703125 1677509257.9782
CHLD 6 266.578125 1677509257.9782
CHLD 7 290.250000 1677509257.9783
CHLD 8 273.324219 1677509257.9783
CHLD 9 270.269531 1677509257.9783
CHLD 10 260.542969 1677509257.9783
CHLD 11 262.964844 1677509257.9783
CHLD 12 333.152344 1677509257.9783
CHLD 13 349.570312 1677509257.9784
CHLD 14 353.320312 1677509257.9784
CHLD 15 353.898438 1677509257.9784
CHLD 16 257.144531 1677509257.9784
CHLD 17 258.652344 1677509257.9784
CHLD 18 254.386719 1677509257.9784
CHLD 19 256.859375 1677509257.9785
CHLD 20 258.105469 1677509257.9785
CHLD 21 258.343750 1677509257.9785
CHLD 22 252.414062 1677509257.9785
CHLD 23 255.605469 1677509257.9785
CHLD 24 256.546875 1677509257.9785
CHLD 25 255.597656 1677509257.9785
CHLD 26 255.179688 1677509257.9786
CHLD 27 255.183594 1677509257.9786
CHLD 28 255.925781 1677509257.9786
CHLD 29 255.312500 1677509257.9786
CHLD 30 255.921875 1677509257.9786
CHLD 31 255.082031 1677509257.9786
CHLD 32 255.000000 1677509257.9787
CHLD 33 255.925781 1677509257.9787
CHLD 34 255.929688 1677509257.9787
CHLD 35 255.738281 1677509257.9787
MEM 11488.808594 1677509258.0975
CHLD 0 838.839844 1677509258.1152
CHLD 1 266.390625 1677509258.1152
CHLD 2 267.609375 1677509258.1153
CHLD 3 271.046875 1677509258.1153
CHLD 4 262.718750 1677509258.1153
CHLD 5 268.703125 1677509258.1153
CHLD 6 269.042969 1677509258.1153
CHLD 7 268.375000 1677509258.1153
CHLD 8 350.382812 1677509258.1154
CHLD 9 277.285156 1677509258.1154
CHLD 10 260.542969 1677509258.1154
CHLD 11 262.964844 1677509258.1154
