CMDLINE python realtime_serial.py
MEM 314.285156 1675698944.9164
MEM 314.285156 1675698945.0170
MEM 314.285156 1675698945.1174
MEM 314.285156 1675698945.2178
MEM 314.285156 1675698945.3182
MEM 314.285156 1675698945.4186
MEM 314.285156 1675698945.5190
MEM 314.285156 1675698945.6195
MEM 314.285156 1675698945.7200
MEM 314.285156 1675698945.8206
MEM 314.285156 1675698945.9211
MEM 314.285156 1675698946.0216
MEM 314.285156 1675698946.1222
MEM 314.285156 1675698946.2228
MEM 314.285156 1675698946.3233
MEM 314.285156 1675698946.4238
MEM 314.285156 1675698946.5245
MEM 314.285156 1675698946.6249
MEM 314.285156 1675698946.7254
MEM 314.285156 1675698946.8257
MEM 314.285156 1675698946.9259
MEM 314.378906 1675698947.0261
MEM 314.285156 1675698947.1263
MEM 314.285156 1675698947.2266
MEM 314.285156 1675698947.3268
MEM 314.285156 1675698947.4270
MEM 324.285156 1675698947.5272
MEM 325.609375 1675698947.6273
MEM 381.296875 1675698947.7275
MEM 381.296875 1675698947.8277
MEM 381.296875 1675698947.9279
MEM 381.296875 1675698948.0281
MEM 381.296875 1675698948.1283
MEM 381.296875 1675698948.2285
MEM 381.296875 1675698948.3287
MEM 381.296875 1675698948.4291
MEM 381.296875 1675698948.5293
MEM 381.296875 1675698948.6297
MEM 381.296875 1675698948.7301
MEM 381.296875 1675698948.8304
MEM 381.296875 1675698948.9307
MEM 381.296875 1675698949.0310
MEM 381.296875 1675698949.1316
MEM 381.296875 1675698949.2320
MEM 381.296875 1675698949.3324
MEM 381.343750 1675698949.4328
MEM 381.343750 1675698949.5332
MEM 381.343750 1675698949.6337
MEM 381.343750 1675698949.7341
MEM 381.343750 1675698949.8347
MEM 381.343750 1675698949.9351
MEM 381.343750 1675698950.0356
MEM 381.343750 1675698950.1360
MEM 381.343750 1675698950.2365
MEM 381.343750 1675698950.3369
MEM 381.343750 1675698950.4373
MEM 381.343750 1675698950.5378
MEM 381.343750 1675698950.6383
MEM 381.343750 1675698950.7388
MEM 381.343750 1675698950.8392
MEM 381.343750 1675698950.9396
MEM 381.343750 1675698951.0401
MEM 381.343750 1675698951.1405
MEM 381.343750 1675698951.2409
MEM 381.343750 1675698951.3412
MEM 381.343750 1675698951.4416
MEM 381.343750 1675698951.5421
MEM 381.343750 1675698951.6424
MEM 381.343750 1675698951.7427
MEM 381.343750 1675698951.8430
MEM 381.343750 1675698951.9434
MEM 381.343750 1675698952.0439
MEM 381.343750 1675698952.1444
MEM 381.343750 1675698952.2450
MEM 381.343750 1675698952.3456
MEM 381.453125 1675698952.4459
MEM 381.343750 1675698952.5465
MEM 381.343750 1675698952.6470
MEM 381.343750 1675698952.7475
MEM 381.343750 1675698952.8480
