CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
CHLD 10 316.191406 1677596125.0314
MEM 3835.167969 1677596125.1441
CHLD 0 252.554688 1677596125.1547
CHLD 1 350.285156 1677596125.1548
CHLD 2 318.222656 1677596125.1548
CHLD 3 311.500000 1677596125.1548
CHLD 4 315.171875 1677596125.1548
CHLD 5 295.347656 1677596125.1548
CHLD 6 314.417969 1677596125.1548
CHLD 7 314.316406 1677596125.1548
CHLD 8 308.636719 1677596125.1549
CHLD 9 313.015625 1677596125.1549
CHLD 10 316.191406 1677596125.1549
MEM 3924.921875 1677596125.2677
CHLD 0 252.554688 1677596125.2787
CHLD 1 350.300781 1677596125.2787
CHLD 2 318.222656 1677596125.2787
CHLD 3 311.500000 1677596125.2788
CHLD 4 316.570312 1677596125.2788
CHLD 5 299.132812 1677596125.2788
CHLD 6 314.417969 1677596125.2788
CHLD 7 314.316406 1677596125.2788
CHLD 8 308.722656 1677596125.2788
CHLD 9 434.089844 1677596125.2788
CHLD 10 316.191406 1677596125.2789
MEM 4063.757812 1677596125.3916
CHLD 0 252.554688 1677596125.4034
CHLD 1 350.300781 1677596125.4035
CHLD 2 318.222656 1677596125.4035
CHLD 3 312.515625 1677596125.4035
CHLD 4 316.488281 1677596125.4035
CHLD 5 299.132812 1677596125.4035
CHLD 6 321.917969 1677596125.4035
CHLD 7 314.402344 1677596125.4036
CHLD 8 311.746094 1677596125.4036
CHLD 9 492.664062 1677596125.4036
CHLD 10 316.191406 1677596125.4036
MEM 4271.562500 1677596125.5167
CHLD 0 252.554688 1677596125.5289
CHLD 1 350.300781 1677596125.5290
CHLD 2 318.222656 1677596125.5290
CHLD 3 312.515625 1677596125.5290
CHLD 4 325.289062 1677596125.5290
CHLD 5 299.132812 1677596125.5290
CHLD 6 557.898438 1677596125.5290
CHLD 7 314.402344 1677596125.5290
CHLD 8 311.750000 1677596125.5291
CHLD 9 295.355469 1677596125.5291
CHLD 10 330.332031 1677596125.5291
MEM 4406.859375 1677596125.6422
CHLD 0 252.554688 1677596125.6543
CHLD 1 350.300781 1677596125.6543
CHLD 2 318.222656 1677596125.6543
CHLD 3 312.515625 1677596125.6543
CHLD 4 538.265625 1677596125.6544
CHLD 5 318.371094 1677596125.6544
CHLD 6 492.664062 1677596125.6544
CHLD 7 314.402344 1677596125.6544
CHLD 8 311.750000 1677596125.6544
CHLD 9 297.636719 1677596125.6544
CHLD 10 335.785156 1677596125.6544
MEM 4489.300781 1677596125.7672
CHLD 0 252.554688 1677596125.7776
CHLD 1 415.546875 1677596125.7776
CHLD 2 320.175781 1677596125.7776
CHLD 3 312.515625 1677596125.7776
CHLD 4 497.089844 1677596125.7776
CHLD 5 347.703125 1677596125.7777
CHLD 6 295.386719 1677596125.7777
CHLD 7 318.484375 1677596125.7777
CHLD 8 311.750000 1677596125.7777
CHLD 9 298.683594 1677596125.7777
CHLD 10 368.031250 1677596125.7777
MEM 4534.054688 1677596125.8906
CHLD 0 252.554688 1677596125.9022
CHLD 1 494.988281 1677596125.9022
CHLD 2 320.089844 1677596125.9022
CHLD 3 313.523438 1677596125.9023
CHLD 4 497.089844 1677596125.9023
CHLD 5 347.703125 1677596125.9023
CHLD 6 297.394531 1677596125.9023
CHLD 7 318.484375 1677596125.9023
CHLD 8 314.867188 1677596125.9024
CHLD 9 298.683594 1677596125.9024
CHLD 10 368.031250 1677596125.9024
MEM 4550.171875 1677596126.0155
CHLD 0 252.554688 1677596126.0272
CHLD 1 494.988281 1677596126.0273
CHLD 2 320.089844 1677596126.0273
CHLD 3 313.523438 1677596126.0273
CHLD 4 295.472656 1677596126.0273
CHLD 5 347.703125 1677596126.0273
CHLD 6 299.363281 1677596126.0273
CHLD 7 318.484375 1677596126.0273
CHLD 8 315.015625 1677596126.0274
CHLD 9 342.382812 1677596126.0274
CHLD 10 368.031250 1677596126.0274
MEM 4501.976562 1677596126.1402
CHLD 0 252.554688 1677596126.1515
CHLD 1 494.988281 1677596126.1516
CHLD 2 347.722656 1677596126.1516
CHLD 3 313.523438 1677596126.1516
CHLD 4 298.316406 1677596126.1516
CHLD 5 347.703125 1677596126.1516
CHLD 6 299.363281 1677596126.1516
CHLD 7 318.484375 1677596126.1516
CHLD 8 315.015625 1677596126.1517
CHLD 9 342.414062 1677596126.1517
CHLD 10 368.031250 1677596126.1517
MEM 4614.445312 1677596126.2646
CHLD 0 252.554688 1677596126.2769
CHLD 1 329.328125 1677596126.2769
CHLD 2 347.722656 1677596126.2769
CHLD 3 313.523438 1677596126.2769
CHLD 4 298.769531 1677596126.2769
CHLD 5 351.445312 1677596126.2769
CHLD 6 342.023438 1677596126.2770
CHLD 7 319.835938 1677596126.2770
CHLD 8 444.320312 1677596126.2770
CHLD 9 342.414062 1677596126.2770
CHLD 10 372.031250 1677596126.2770
MEM 4617.300781 1677596126.3901
CHLD 0 252.554688 1677596126.4021
CHLD 1 295.968750 1677596126.4021
CHLD 2 347.722656 1677596126.4021
CHLD 3 313.523438 1677596126.4021
CHLD 4 298.769531 1677596126.4022
CHLD 5 353.687500 1677596126.4022
