CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
CHLD 39 266.066406 1677250348.7987
CHLD 40 266.550781 1677250348.7988
CHLD 41 266.207031 1677250348.7988
CHLD 42 265.867188 1677250348.7988
CHLD 43 265.796875 1677250348.7988
CHLD 44 270.613281 1677250348.7988
CHLD 45 269.203125 1677250348.7988
CHLD 46 265.152344 1677250348.7988
CHLD 47 265.089844 1677250348.7989
CHLD 48 263.320312 1677250348.7989
CHLD 49 262.921875 1677250348.7989
CHLD 50 262.894531 1677250348.7989
CHLD 51 262.875000 1677250348.7989
CHLD 52 267.351562 1677250348.7990
CHLD 53 265.304688 1677250348.7990
CHLD 54 264.785156 1677250348.7990
CHLD 55 265.566406 1677250348.7990
CHLD 56 264.929688 1677250348.7990
CHLD 57 262.160156 1677250348.7990
CHLD 58 266.867188 1677250348.7990
CHLD 59 267.117188 1677250348.7991
CHLD 60 264.808594 1677250348.7991
CHLD 61 265.054688 1677250348.7991
CHLD 62 262.160156 1677250348.7991
CHLD 63 262.164062 1677250348.7991
CHLD 64 262.171875 1677250348.7991
CHLD 65 262.171875 1677250348.7992
CHLD 66 262.171875 1677250348.7992
CHLD 67 262.175781 1677250348.7992
CHLD 68 262.179688 1677250348.7992
CHLD 69 262.179688 1677250348.7992
CHLD 70 262.179688 1677250348.7992
CHLD 71 262.179688 1677250348.7993
MEM 16979.933594 1677250348.9244
CHLD 0 825.117188 1677250348.9413
CHLD 1 279.273438 1677250348.9414
CHLD 2 283.710938 1677250348.9414
CHLD 3 317.761719 1677250348.9414
CHLD 4 276.949219 1677250348.9414
CHLD 5 274.460938 1677250348.9414
CHLD 6 363.636719 1677250348.9415
CHLD 7 0.000000 1677250348.9415
CHLD 8 0.000000 1677250348.9415
CHLD 9 279.855469 1677250348.9415
CHLD 10 282.234375 1677250348.9415
CHLD 11 274.179688 1677250348.9415
CHLD 12 0.000000 1677250348.9415
CHLD 13 279.843750 1677250348.9416
CHLD 14 276.003906 1677250348.9416
CHLD 15 279.843750 1677250348.9416
CHLD 16 279.546875 1677250348.9416
CHLD 17 282.011719 1677250348.9416
CHLD 18 271.402344 1677250348.9417
CHLD 19 277.699219 1677250348.9417
CHLD 20 279.546875 1677250348.9417
CHLD 21 277.007812 1677250348.9417
CHLD 22 274.808594 1677250348.9417
CHLD 23 273.730469 1677250348.9417
CHLD 24 0.000000 1677250348.9417
CHLD 25 272.378906 1677250348.9418
CHLD 26 270.789062 1677250348.9418
CHLD 27 0.000000 1677250348.9418
CHLD 28 0.000000 1677250348.9418
CHLD 29 0.000000 1677250348.9418
CHLD 30 0.000000 1677250348.9418
CHLD 31 0.000000 1677250348.9418
CHLD 32 289.769531 1677250348.9419
CHLD 33 278.183594 1677250348.9419
CHLD 34 288.812500 1677250348.9419
CHLD 35 271.570312 1677250348.9419
CHLD 36 267.421875 1677250348.9419
CHLD 37 267.242188 1677250348.9419
CHLD 38 266.867188 1677250348.9420
CHLD 39 266.726562 1677250348.9420
CHLD 40 277.023438 1677250348.9420
CHLD 41 274.640625 1677250348.9420
CHLD 42 265.882812 1677250348.9420
CHLD 43 265.796875 1677250348.9420
CHLD 44 270.828125 1677250348.9421
CHLD 45 358.640625 1677250348.9421
CHLD 46 297.980469 1677250348.9421
CHLD 47 266.273438 1677250348.9421
CHLD 48 0.000000 1677250348.9421
CHLD 49 0.000000 1677250348.9421
CHLD 50 0.000000 1677250348.9421
CHLD 51 0.000000 1677250348.9422
CHLD 52 267.210938 1677250348.9422
CHLD 53 267.453125 1677250348.9422
CHLD 54 267.972656 1677250348.9422
CHLD 55 266.425781 1677250348.9422
CHLD 56 267.316406 1677250348.9422
CHLD 57 264.781250 1677250348.9422
CHLD 58 266.882812 1677250348.9423
CHLD 59 267.066406 1677250348.9423
CHLD 60 266.882812 1677250348.9423
CHLD 61 266.730469 1677250348.9423
CHLD 62 266.589844 1677250348.9423
CHLD 63 264.441406 1677250348.9423
CHLD 64 265.546875 1677250348.9423
CHLD 65 265.820312 1677250348.9424
CHLD 66 264.531250 1677250348.9424
CHLD 67 265.046875 1677250348.9424
CHLD 68 265.046875 1677250348.9424
CHLD 69 265.085938 1677250348.9424
CHLD 70 264.441406 1677250348.9424
CHLD 71 264.828125 1677250348.9424
MEM 17356.597656 1677250349.0615
CHLD 0 1141.394531 1677250349.0927
CHLD 1 279.273438 1677250349.0928
CHLD 2 283.710938 1677250349.0928
CHLD 3 272.445312 1677250349.0928
CHLD 4 276.949219 1677250349.0928
CHLD 5 274.460938 1677250349.0928
CHLD 6 278.500000 1677250349.0928
CHLD 7 0.000000 1677250349.0929
CHLD 8 0.000000 1677250349.0929
CHLD 9 279.855469 1677250349.0929
CHLD 10 282.234375 1677250349.0929
CHLD 11 277.207031 1677250349.0929
CHLD 12 0.000000 1677250349.0929
CHLD 13 279.843750 1677250349.0930
CHLD 14 276.003906 1677250349.0930
CHLD 15 279.843750 1677250349.0930
CHLD 16 279.546875 1677250349.0930
CHLD 17 274.046875 1677250349.0930
CHLD 18 271.402344 1677250349.0930
CHLD 19 277.699219 1677250349.0930
CHLD 20 279.546875 1677250349.0931
CHLD 21 277.007812 1677250349.0931
CHLD 22 276.761719 1677250349.0931
CHLD 23 275.613281 1677250349.0931
CHLD 24 0.000000 1677250349.0931
CHLD 25 272.382812 1677250349.0931
CHLD 26 270.804688 1677250349.0931
CHLD 27 0.000000 1677250349.0932
CHLD 28 0.000000 1677250349.0932
CHLD 29 0.000000 1677250349.0932
CHLD 30 0.000000 1677250349.0932
CHLD 31 0.000000 1677250349.0932
CHLD 32 278.105469 1677250349.0932
CHLD 33 278.183594 1677250349.0932
CHLD 34 278.273438 1677250349.0933
CHLD 35 271.652344 1677250349.0933
CHLD 36 267.437500 1677250349.0933
CHLD 37 278.843750 1677250349.0933
CHLD 38 277.914062 1677250349.0933
CHLD 39 266.742188 1677250349.0933
CHLD 40 277.105469 1677250349.0933
CHLD 41 274.640625 1677250349.0934
CHLD 42 273.398438 1677250349.0934
CHLD 43 355.972656 1677250349.0934
CHLD 44 270.828125 1677250349.0934
CHLD 45 353.796875 1677250349.0934
CHLD 46 295.996094 1677250349.0934
CHLD 47 322.742188 1677250349.0935
CHLD 48 0.000000 1677250349.0935
CHLD 49 0.000000 1677250349.0935
CHLD 50 0.000000 1677250349.0935
CHLD 51 0.000000 1677250349.0935
CHLD 52 267.210938 1677250349.0935
CHLD 53 267.453125 1677250349.0935
CHLD 54 267.988281 1677250349.0936
CHLD 55 266.425781 1677250349.0936
CHLD 56 267.332031 1677250349.0936
CHLD 57 268.031250 1677250349.0936
CHLD 58 277.617188 1677250349.0936
CHLD 59 280.527344 1677250349.0936
CHLD 60 266.882812 1677250349.0936
CHLD 61 268.566406 1677250349.0937
CHLD 62 266.675781 1677250349.0937
CHLD 63 266.554688 1677250349.0937
CHLD 64 266.460938 1677250349.0937
CHLD 65 264.472656 1677250349.0937
CHLD 66 264.402344 1677250349.0937
CHLD 67 263.675781 1677250349.0937
CHLD 68 263.421875 1677250349.0938
CHLD 69 263.398438 1677250349.0938
CHLD 70 265.371094 1677250349.0938
CHLD 71 263.093750 1677250349.0938
MEM 17297.554688 1677250349.2421
CHLD 0 1283.078125 1677250349.2778
CHLD 1 279.273438 1677250349.2778
CHLD 2 283.710938 1677250349.2778
CHLD 3 272.445312 1677250349.2779
CHLD 4 276.949219 1677250349.2779
CHLD 5 275.351562 1677250349.2779
CHLD 6 277.746094 1677250349.2779
CHLD 7 0.000000 1677250349.2779
CHLD 8 0.000000 1677250349.2780
CHLD 9 279.855469 1677250349.2780
CHLD 10 282.234375 1677250349.2780
CHLD 11 277.207031 1677250349.2780
CHLD 12 0.000000 1677250349.2780
CHLD 13 279.843750 1677250349.2780
CHLD 14 276.003906 1677250349.2781
CHLD 15 279.843750 1677250349.2781
CHLD 16 279.546875 1677250349.2781
CHLD 17 274.046875 1677250349.2781
CHLD 18 271.402344 1677250349.2781
CHLD 19 280.152344 1677250349.2781
CHLD 20 282.195312 1677250349.2781
CHLD 21 279.289062 1677250349.2782
CHLD 22 276.863281 1677250349.2782
CHLD 23 275.660156 1677250349.2782
CHLD 24 0.000000 1677250349.2782
CHLD 25 272.816406 1677250349.2782
CHLD 26 271.574219 1677250349.2782
CHLD 27 0.000000 1677250349.2783
CHLD 28 0.000000 1677250349.2783
CHLD 29 0.000000 1677250349.2783
CHLD 30 0.000000 1677250349.2783
CHLD 31 0.000000 1677250349.2783
CHLD 32 278.105469 1677250349.2783
CHLD 33 278.183594 1677250349.2783
CHLD 34 278.355469 1677250349.2784
CHLD 35 271.652344 1677250349.2784
CHLD 36 281.921875 1677250349.2784
CHLD 37 271.652344 1677250349.2784
CHLD 38 277.699219 1677250349.2784
CHLD 39 279.699219 1677250349.2784
CHLD 40 277.105469 1677250349.2784
CHLD 41 276.742188 1677250349.2785
CHLD 42 273.480469 1677250349.2785
CHLD 43 356.726562 1677250349.2785
CHLD 44 272.273438 1677250349.2785
CHLD 45 297.539062 1677250349.2785
CHLD 46 295.996094 1677250349.2785
