CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
CHLD 0 249.019531 1677595179.6859
CHLD 1 346.242188 1677595179.6859
CHLD 2 304.625000 1677595179.6859
CHLD 3 315.671875 1677595179.6859
CHLD 4 536.570312 1677595179.6859
CHLD 5 533.015625 1677595179.6859
CHLD 6 293.976562 1677595179.6860
CHLD 7 381.531250 1677595179.6860
CHLD 8 306.683594 1677595179.6860
CHLD 9 304.550781 1677595179.6860
CHLD 10 302.082031 1677595179.6860
MEM 4720.171875 1677595179.7989
CHLD 0 249.019531 1677595179.8104
CHLD 1 346.242188 1677595179.8105
CHLD 2 305.625000 1677595179.8105
CHLD 3 315.671875 1677595179.8105
CHLD 4 536.570312 1677595179.8105
CHLD 5 284.625000 1677595179.8105
CHLD 6 351.804688 1677595179.8105
CHLD 7 580.800781 1677595179.8105
CHLD 8 306.683594 1677595179.8106
CHLD 9 304.550781 1677595179.8106
CHLD 10 302.082031 1677595179.8106
MEM 4736.386719 1677595179.9235
CHLD 0 249.019531 1677595179.9349
CHLD 1 346.257812 1677595179.9349
CHLD 2 305.781250 1677595179.9349
CHLD 3 315.671875 1677595179.9350
CHLD 4 536.570312 1677595179.9350
CHLD 5 292.722656 1677595179.9350
CHLD 6 351.816406 1677595179.9350
CHLD 7 552.660156 1677595179.9350
CHLD 8 306.683594 1677595179.9350
CHLD 9 304.550781 1677595179.9350
CHLD 10 363.863281 1677595179.9351
MEM 4712.882812 1677595180.0480
CHLD 0 249.019531 1677595180.0595
CHLD 1 346.257812 1677595180.0595
CHLD 2 305.781250 1677595180.0595
CHLD 3 376.085938 1677595180.0596
CHLD 4 536.570312 1677595180.0596
CHLD 5 354.531250 1677595180.0596
CHLD 6 356.339844 1677595180.0596
CHLD 7 552.660156 1677595180.0596
CHLD 8 306.683594 1677595180.0596
CHLD 9 304.550781 1677595180.0597
CHLD 10 363.863281 1677595180.0597
MEM 5017.566406 1677595180.1730
CHLD 0 249.019531 1677595180.1851
CHLD 1 346.257812 1677595180.1852
CHLD 2 315.738281 1677595180.1852
CHLD 3 376.226562 1677595180.1852
CHLD 4 365.832031 1677595180.1852
CHLD 5 358.796875 1677595180.1852
CHLD 6 361.300781 1677595180.1853
CHLD 7 552.660156 1677595180.1853
CHLD 8 317.511719 1677595180.1853
CHLD 9 307.621094 1677595180.1853
CHLD 10 536.218750 1677595180.1853
MEM 5141.410156 1677595180.2983
CHLD 0 249.019531 1677595180.3106
CHLD 1 346.257812 1677595180.3106
CHLD 2 343.132812 1677595180.3106
CHLD 3 376.226562 1677595180.3106
CHLD 4 290.933594 1677595180.3107
CHLD 5 434.265625 1677595180.3107
CHLD 6 630.769531 1677595180.3107
CHLD 7 552.660156 1677595180.3107
CHLD 8 349.675781 1677595180.3107
CHLD 9 307.621094 1677595180.3107
CHLD 10 535.230469 1677595180.3107
MEM 5473.207031 1677595180.4237
CHLD 0 249.019531 1677595180.4354
CHLD 1 374.238281 1677595180.4354
CHLD 2 343.132812 1677595180.4354
CHLD 3 569.527344 1677595180.4354
CHLD 4 353.410156 1677595180.4354
CHLD 5 532.421875 1677595180.4355
CHLD 6 529.953125 1677595180.4355
CHLD 7 552.660156 1677595180.4355
CHLD 8 352.074219 1677595180.4355
CHLD 9 307.621094 1677595180.4355
CHLD 10 535.230469 1677595180.4356
MEM 5540.910156 1677595180.5484
CHLD 0 249.019531 1677595180.5599
CHLD 1 374.394531 1677595180.5599
CHLD 2 343.132812 1677595180.5599
CHLD 3 607.187500 1677595180.5599
CHLD 4 446.062500 1677595180.5599
CHLD 5 532.421875 1677595180.5600
CHLD 6 529.953125 1677595180.5600
CHLD 7 291.382812 1677595180.5600
CHLD 8 352.160156 1677595180.5600
CHLD 9 307.621094 1677595180.5600
CHLD 10 535.234375 1677595180.5600
MEM 5657.992188 1677595180.6729
CHLD 0 249.019531 1677595180.6844
CHLD 1 374.394531 1677595180.6844
CHLD 2 347.976562 1677595180.6844
CHLD 3 607.187500 1677595180.6844
CHLD 4 531.042969 1677595180.6844
CHLD 5 532.421875 1677595180.6845
CHLD 6 529.953125 1677595180.6845
CHLD 7 290.687500 1677595180.6845
CHLD 8 352.160156 1677595180.6845
CHLD 9 309.250000 1677595180.6845
CHLD 10 535.234375 1677595180.6845
MEM 5742.195312 1677595180.7973
CHLD 0 249.019531 1677595180.8095
CHLD 1 378.675781 1677595180.8095
CHLD 2 347.976562 1677595180.8095
CHLD 3 607.187500 1677595180.8095
CHLD 4 531.042969 1677595180.8095
CHLD 5 532.421875 1677595180.8095
CHLD 6 529.953125 1677595180.8096
CHLD 7 350.804688 1677595180.8096
CHLD 8 352.160156 1677595180.8096
CHLD 9 308.894531 1677595180.8096
CHLD 10 535.234375 1677595180.8096
MEM 5752.289062 1677595180.9226
CHLD 0 249.019531 1677595180.9348
CHLD 1 388.683594 1677595180.9349
CHLD 2 347.976562 1677595180.9349
CHLD 3 607.187500 1677595180.9349
CHLD 4 531.042969 1677595180.9349
CHLD 5 532.421875 1677595180.9349
CHLD 6 529.953125 1677595180.9349
CHLD 7 353.609375 1677595180.9350
CHLD 8 356.187500 1677595180.9350
CHLD 9 308.894531 1677595180.9350
CHLD 10 330.570312 1677595180.9350
MEM 5776.144531 1677595181.0479
CHLD 0 249.019531 1677595181.0592
CHLD 1 388.683594 1677595181.0592
CHLD 2 347.976562 1677595181.0592
CHLD 3 607.187500 1677595181.0592
CHLD 4 531.042969 1677595181.0592
CHLD 5 532.421875 1677595181.0593
CHLD 6 529.953125 1677595181.0593
CHLD 7 356.531250 1677595181.0593
CHLD 8 356.187500 1677595181.0593
CHLD 9 370.667969 1677595181.0593
CHLD 10 290.156250 1677595181.0593
MEM 5824.988281 1677595181.1720
CHLD 0 249.019531 1677595181.1838
CHLD 1 388.683594 1677595181.1838
CHLD 2 347.976562 1677595181.1838
CHLD 3 607.187500 1677595181.1838
CHLD 4 531.042969 1677595181.1838
CHLD 5 532.421875 1677595181.1838
CHLD 6 529.953125 1677595181.1839
CHLD 7 356.531250 1677595181.1839
CHLD 8 356.187500 1677595181.1839
CHLD 9 370.804688 1677595181.1839
CHLD 10 293.875000 1677595181.1839
MEM 5792.546875 1677595181.2965
CHLD 0 249.019531 1677595181.3074
CHLD 1 388.683594 1677595181.3074
CHLD 2 347.976562 1677595181.3074
CHLD 3 607.187500 1677595181.3075
CHLD 4 531.042969 1677595181.3075
CHLD 5 532.421875 1677595181.3075
CHLD 6 290.457031 1677595181.3075
CHLD 7 371.207031 1677595181.3075
CHLD 8 356.187500 1677595181.3075
CHLD 9 370.804688 1677595181.3075
CHLD 10 295.550781 1677595181.3076
MEM 5938.179688 1677595181.4209
CHLD 0 249.019531 1677595181.4322
CHLD 1 388.683594 1677595181.4323
CHLD 2 347.976562 1677595181.4323
CHLD 3 607.187500 1677595181.4323
CHLD 4 531.042969 1677595181.4323
CHLD 5 532.421875 1677595181.4323
CHLD 6 291.816406 1677595181.4323
CHLD 7 377.394531 1677595181.4324
CHLD 8 356.187500 1677595181.4324
CHLD 9 518.550781 1677595181.4324
CHLD 10 295.550781 1677595181.4324
MEM 5866.687500 1677595181.5453
CHLD 0 249.019531 1677595181.5560
CHLD 1 394.261719 1677595181.5560
CHLD 2 349.976562 1677595181.5561
CHLD 3 607.187500 1677595181.5561
CHLD 4 531.042969 1677595181.5561
CHLD 5 289.707031 1677595181.5561
CHLD 6 294.496094 1677595181.5561
CHLD 7 378.878906 1677595181.5561
CHLD 8 377.828125 1677595181.5561
CHLD 9 602.734375 1677595181.5562
CHLD 10 310.300781 1677595181.5562
MEM 5918.671875 1677595181.6691
CHLD 0 249.019531 1677595181.6800
CHLD 1 394.261719 1677595181.6801
CHLD 2 349.976562 1677595181.6801
CHLD 3 607.187500 1677595181.6801
CHLD 4 531.042969 1677595181.6801
CHLD 5 289.937500 1677595181.6801
CHLD 6 294.496094 1677595181.6801
CHLD 7 378.878906 1677595181.6801
CHLD 8 377.828125 1677595181.6802
CHLD 9 602.734375 1677595181.6802
CHLD 10 317.308594 1677595181.6802
MEM 5959.035156 1677595181.7930
CHLD 0 249.019531 1677595181.8051
CHLD 1 394.261719 1677595181.8051
CHLD 2 349.976562 1677595181.8051
CHLD 3 607.187500 1677595181.8051
CHLD 4 531.042969 1677595181.8051
CHLD 5 294.296875 1677595181.8052
CHLD 6 337.433594 1677595181.8052
CHLD 7 378.878906 1677595181.8052
CHLD 8 377.828125 1677595181.8052
CHLD 9 602.734375 1677595181.8052
CHLD 10 346.968750 1677595181.8052
MEM 5783.281250 1677595181.9179
CHLD 0 249.019531 1677595181.9283
CHLD 1 394.261719 1677595181.9283
CHLD 2 349.976562 1677595181.9283
CHLD 3 277.152344 1677595181.9283
CHLD 4 531.042969 1677595181.9283
CHLD 5 294.296875 1677595181.9284
CHLD 6 337.472656 1677595181.9285
CHLD 7 378.878906 1677595181.9285
CHLD 8 381.582031 1677595181.9285
CHLD 9 602.734375 1677595181.9285
CHLD 10 346.968750 1677595181.9285
MEM 5901.464844 1677595182.0391
CHLD 0 249.019531 1677595182.0492
CHLD 1 394.261719 1677595182.0492
CHLD 2 349.976562 1677595182.0492
CHLD 3 290.765625 1677595182.0492
CHLD 4 531.042969 1677595182.0493
CHLD 5 337.035156 1677595182.0493
CHLD 6 337.472656 1677595182.0493
CHLD 7 378.878906 1677595182.0493
CHLD 8 382.855469 1677595182.0493
CHLD 9 602.734375 1677595182.0493
CHLD 10 346.968750 1677595182.0493
MEM 5998.371094 1677595182.1604
CHLD 0 249.019531 1677595182.1707
CHLD 1 534.527344 1677595182.1707
CHLD 2 349.976562 1677595182.1707
CHLD 3 294.574219 1677595182.1708
CHLD 4 531.042969 1677595182.1708
CHLD 5 337.035156 1677595182.1708
CHLD 6 337.472656 1677595182.1708
CHLD 7 378.910156 1677595182.1708
CHLD 8 382.855469 1677595182.1708
CHLD 9 602.734375 1677595182.1708
CHLD 10 346.968750 1677595182.1709
MEM 6179.417969 1677595182.2826
CHLD 0 249.019531 1677595182.2929
CHLD 1 569.019531 1677595182.2929
CHLD 2 349.976562 1677595182.2929
CHLD 3 294.726562 1677595182.2929
CHLD 4 405.812500 1677595182.2929
CHLD 5 337.062500 1677595182.2929
CHLD 6 341.960938 1677595182.2930
CHLD 7 378.914062 1677595182.2930
CHLD 8 382.855469 1677595182.2930
CHLD 9 602.734375 1677595182.2930
CHLD 10 346.968750 1677595182.2930
MEM 6169.933594 1677595182.4056
CHLD 0 249.019531 1677595182.4160
CHLD 1 569.019531 1677595182.4161
CHLD 2 349.976562 1677595182.4161
CHLD 3 330.292969 1677595182.4161
CHLD 4 290.390625 1677595182.4161
CHLD 5 339.062500 1677595182.4161
CHLD 6 341.996094 1677595182.4161
CHLD 7 378.914062 1677595182.4161
CHLD 8 382.855469 1677595182.4162
CHLD 9 602.734375 1677595182.4162
CHLD 10 351.457031 1677595182.4162
MEM 6020.324219 1677595182.5288
CHLD 0 249.019531 1677595182.5406
CHLD 1 569.019531 1677595182.5406
CHLD 2 349.976562 1677595182.5407
CHLD 3 330.292969 1677595182.5407
CHLD 4 293.621094 1677595182.5407
CHLD 5 339.093750 1677595182.5407
CHLD 6 341.996094 1677595182.5407
CHLD 7 378.914062 1677595182.5407
CHLD 8 382.855469 1677595182.5407
CHLD 9 602.734375 1677595182.5408
CHLD 10 353.488281 1677595182.5408
MEM 5930.070312 1677595182.6538
CHLD 0 249.019531 1677595182.6657
CHLD 1 569.019531 1677595182.6657
CHLD 2 349.976562 1677595182.6658
CHLD 3 332.730469 1677595182.6658
CHLD 4 327.714844 1677595182.6658
CHLD 5 339.093750 1677595182.6658
CHLD 6 341.996094 1677595182.6658
CHLD 7 378.914062 1677595182.6658
CHLD 8 382.855469 1677595182.6659
CHLD 9 297.449219 1677595182.6659
CHLD 10 353.488281 1677595182.6659
MEM 5991.789062 1677595182.7790
CHLD 0 249.019531 1677595182.7903
CHLD 1 569.019531 1677595182.7903
CHLD 2 349.976562 1677595182.7903
CHLD 3 333.015625 1677595182.7903
CHLD 4 329.960938 1677595182.7904
CHLD 5 339.093750 1677595182.7904
CHLD 6 341.996094 1677595182.7905
CHLD 7 378.914062 1677595182.7905
CHLD 8 486.160156 1677595182.7905
CHLD 9 290.523438 1677595182.7905
CHLD 10 353.488281 1677595182.7905
MEM 6336.582031 1677595182.9037
CHLD 0 249.019531 1677595182.9151
CHLD 1 569.019531 1677595182.9151
CHLD 2 371.164062 1677595182.9151
CHLD 3 333.015625 1677595182.9151
CHLD 4 330.308594 1677595182.9151
CHLD 5 339.093750 1677595182.9152
CHLD 6 341.996094 1677595182.9152
CHLD 7 378.914062 1677595182.9152
CHLD 8 613.835938 1677595182.9152
CHLD 9 325.324219 1677595182.9152
CHLD 10 353.488281 1677595182.9152
MEM 6164.316406 1677595183.0284
CHLD 0 249.019531 1677595183.0402
CHLD 1 283.031250 1677595183.0402
CHLD 2 371.312500 1677595183.0402
CHLD 3 333.019531 1677595183.0403
CHLD 4 330.316406 1677595183.0403
CHLD 5 339.097656 1677595183.0403
CHLD 6 341.996094 1677595183.0403
CHLD 7 378.914062 1677595183.0403
CHLD 8 613.835938 1677595183.0403
CHLD 9 325.917969 1677595183.0403
CHLD 10 353.488281 1677595183.0404
MEM 6136.683594 1677595183.1532
CHLD 0 249.019531 1677595183.1636
CHLD 1 290.257812 1677595183.1636
CHLD 2 371.312500 1677595183.1636
CHLD 3 333.019531 1677595183.1636
CHLD 4 330.316406 1677595183.1636
CHLD 5 339.097656 1677595183.1636
CHLD 6 341.996094 1677595183.1637
CHLD 7 378.914062 1677595183.1637
CHLD 8 613.835938 1677595183.1637
CHLD 9 328.007812 1677595183.1637
CHLD 10 353.488281 1677595183.1637
MEM 6153.843750 1677595183.2744
CHLD 0 249.019531 1677595183.2845
CHLD 1 294.531250 1677595183.2845
CHLD 2 378.964844 1677595183.2845
CHLD 3 333.019531 1677595183.2845
CHLD 4 330.316406 1677595183.2845
CHLD 5 339.097656 1677595183.2846
CHLD 6 341.996094 1677595183.2846
CHLD 7 378.914062 1677595183.2846
CHLD 8 613.835938 1677595183.2846
CHLD 9 355.601562 1677595183.2846
CHLD 10 353.488281 1677595183.2846
MEM 6077.382812 1677595183.3953
CHLD 0 249.019531 1677595183.4052
CHLD 1 294.531250 1677595183.4052
CHLD 2 379.011719 1677595183.4052
CHLD 3 333.019531 1677595183.4053
CHLD 4 358.558594 1677595183.4053
CHLD 5 339.097656 1677595183.4053
CHLD 6 341.996094 1677595183.4053
CHLD 7 378.914062 1677595183.4053
CHLD 8 326.218750 1677595183.4053
CHLD 9 359.699219 1677595183.4053
CHLD 10 353.488281 1677595183.4054
MEM 6185.796875 1677595183.5160
CHLD 0 249.019531 1677595183.5259
CHLD 1 294.531250 1677595183.5260
CHLD 2 379.011719 1677595183.5260
CHLD 3 335.019531 1677595183.5260
CHLD 4 358.093750 1677595183.5260
CHLD 5 339.097656 1677595183.5260
CHLD 6 341.996094 1677595183.5260
CHLD 7 378.914062 1677595183.5261
CHLD 8 290.671875 1677595183.5261
CHLD 9 359.714844 1677595183.5261
CHLD 10 353.488281 1677595183.5261
MEM 6069.878906 1677595183.6367
CHLD 0 249.019531 1677595183.6467
CHLD 1 317.144531 1677595183.6467
CHLD 2 379.011719 1677595183.6467
CHLD 3 335.019531 1677595183.6467
CHLD 4 362.207031 1677595183.6467
CHLD 5 339.097656 1677595183.6468
CHLD 6 341.996094 1677595183.6468
CHLD 7 378.914062 1677595183.6468
CHLD 8 294.398438 1677595183.6468
CHLD 9 385.976562 1677595183.6468
CHLD 10 353.488281 1677595183.6468
MEM 6106.042969 1677595183.7572
CHLD 0 249.019531 1677595183.7672
CHLD 1 351.210938 1677595183.7672
CHLD 2 381.531250 1677595183.7672
CHLD 3 335.019531 1677595183.7672
CHLD 4 362.207031 1677595183.7672
CHLD 5 339.097656 1677595183.7672
CHLD 6 341.996094 1677595183.7673
CHLD 7 378.914062 1677595183.7673
CHLD 8 294.398438 1677595183.7673
CHLD 9 385.964844 1677595183.7673
CHLD 10 353.488281 1677595183.7673
MEM 6124.675781 1677595183.8784
CHLD 0 249.019531 1677595183.8885
CHLD 1 351.210938 1677595183.8885
CHLD 2 381.531250 1677595183.8885
CHLD 3 335.019531 1677595183.8885
CHLD 4 362.218750 1677595183.8885
CHLD 5 339.097656 1677595183.8886
CHLD 6 341.996094 1677595183.8886
CHLD 7 378.914062 1677595183.8886
CHLD 8 307.542969 1677595183.8886
CHLD 9 390.250000 1677595183.8886
CHLD 10 355.488281 1677595183.8886
MEM 6182.261719 1677595183.9996
CHLD 0 249.019531 1677595184.0098
CHLD 1 351.210938 1677595184.0098
CHLD 2 381.531250 1677595184.0099
CHLD 3 335.019531 1677595184.0099
CHLD 4 362.218750 1677595184.0099
CHLD 5 339.097656 1677595184.0099
CHLD 6 341.996094 1677595184.0099
CHLD 7 378.914062 1677595184.0099
CHLD 8 337.500000 1677595184.0100
CHLD 9 431.808594 1677595184.0100
CHLD 10 355.488281 1677595184.0100
MEM 6539.039062 1677595184.1228
CHLD 0 249.019531 1677595184.1336
CHLD 1 351.210938 1677595184.1336
CHLD 2 526.175781 1677595184.1336
CHLD 3 335.019531 1677595184.1337
CHLD 4 364.484375 1677595184.1337
CHLD 5 339.097656 1677595184.1337
CHLD 6 341.996094 1677595184.1337
CHLD 7 378.914062 1677595184.1337
CHLD 8 337.500000 1677595184.1337
CHLD 9 669.683594 1677595184.1337
CHLD 10 355.488281 1677595184.1338
MEM 6672.757812 1677595184.2464
CHLD 0 249.019531 1677595184.2567
CHLD 1 355.273438 1677595184.2567
CHLD 2 581.867188 1677595184.2568
CHLD 3 335.019531 1677595184.2568
CHLD 4 392.546875 1677595184.2568
CHLD 5 339.097656 1677595184.2568
CHLD 6 343.996094 1677595184.2568
CHLD 7 378.914062 1677595184.2568
CHLD 8 337.500000 1677595184.2568
CHLD 9 589.437500 1677595184.2569
CHLD 10 355.488281 1677595184.2569
MEM 6731.542969 1677595184.3675
CHLD 0 249.019531 1677595184.3775
CHLD 1 355.273438 1677595184.3775
CHLD 2 581.867188 1677595184.3775
CHLD 3 335.019531 1677595184.3775
CHLD 4 392.609375 1677595184.3776
CHLD 5 339.097656 1677595184.3776
CHLD 6 343.996094 1677595184.3776
CHLD 7 378.914062 1677595184.3776
CHLD 8 341.988281 1677595184.3776
CHLD 9 353.851562 1677595184.3776
CHLD 10 355.488281 1677595184.3776
MEM 6667.140625 1677595184.4902
CHLD 0 249.019531 1677595184.5008
CHLD 1 355.273438 1677595184.5008
CHLD 2 581.867188 1677595184.5008
CHLD 3 359.171875 1677595184.5008
CHLD 4 392.609375 1677595184.5008
CHLD 5 339.097656 1677595184.5008
CHLD 6 343.996094 1677595184.5009
CHLD 7 378.914062 1677595184.5009
CHLD 8 341.988281 1677595184.5009
CHLD 9 354.406250 1677595184.5009
CHLD 10 355.488281 1677595184.5009
MEM 6870.933594 1677595184.6116
CHLD 0 249.019531 1677595184.6217
CHLD 1 355.273438 1677595184.6217
CHLD 2 581.867188 1677595184.6217
CHLD 3 358.925781 1677595184.6217
CHLD 4 589.148438 1677595184.6217
CHLD 5 339.097656 1677595184.6217
CHLD 6 343.996094 1677595184.6217
CHLD 7 378.914062 1677595184.6218
CHLD 8 341.988281 1677595184.6218
CHLD 9 356.261719 1677595184.6218
CHLD 10 355.488281 1677595184.6218
MEM 6807.953125 1677595184.7341
CHLD 0 249.019531 1677595184.7455
CHLD 1 355.273438 1677595184.7455
CHLD 2 290.281250 1677595184.7455
CHLD 3 363.921875 1677595184.7455
CHLD 4 592.093750 1677595184.7456
CHLD 5 339.097656 1677595184.7456
CHLD 6 343.996094 1677595184.7456
CHLD 7 378.914062 1677595184.7456
CHLD 8 342.179688 1677595184.7456
CHLD 9 359.800781 1677595184.7456
CHLD 10 355.488281 1677595184.7456
MEM 6673.265625 1677595184.8587
CHLD 0 249.019531 1677595184.8695
CHLD 1 376.910156 1677595184.8695
CHLD 2 294.308594 1677595184.8696
CHLD 3 363.921875 1677595184.8696
CHLD 4 592.093750 1677595184.8696
CHLD 5 339.097656 1677595184.8696
CHLD 6 343.996094 1677595184.8696
CHLD 7 378.914062 1677595184.8696
CHLD 8 342.179688 1677595184.8697
CHLD 9 377.808594 1677595184.8697
CHLD 10 355.488281 1677595184.8697
MEM 6658.570312 1677595184.9803
CHLD 0 249.019531 1677595184.9903
CHLD 1 377.339844 1677595184.9904
CHLD 2 299.828125 1677595184.9904
CHLD 3 364.953125 1677595184.9904
CHLD 4 356.097656 1677595184.9904
CHLD 5 339.097656 1677595184.9904
CHLD 6 343.996094 1677595184.9904
CHLD 7 378.914062 1677595184.9905
CHLD 8 342.179688 1677595184.9905
CHLD 9 377.808594 1677595184.9905
CHLD 10 355.488281 1677595184.9905
MEM 6839.441406 1677595185.1026
