CMDLINE python realtime_parallel_pool.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
CHLD 1 353.523438 1677247276.9153
CHLD 2 313.871094 1677247276.9154
CHLD 3 312.218750 1677247276.9154
CHLD 4 585.871094 1677247276.9154
CHLD 5 521.996094 1677247276.9154
CHLD 6 299.757812 1677247276.9154
CHLD 7 353.242188 1677247276.9154
CHLD 8 342.167969 1677247276.9155
CHLD 9 314.167969 1677247276.9155
CHLD 10 335.976562 1677247276.9155
MEM 4740.652344 1677247277.0324
CHLD 0 232.488281 1677247277.0483
CHLD 1 353.523438 1677247277.0483
CHLD 2 313.871094 1677247277.0484
CHLD 3 334.406250 1677247277.0484
CHLD 4 585.871094 1677247277.0484
CHLD 5 521.996094 1677247277.0484
CHLD 6 322.136719 1677247277.0484
CHLD 7 535.386719 1677247277.0484
CHLD 8 341.644531 1677247277.0485
CHLD 9 314.167969 1677247277.0485
CHLD 10 369.000000 1677247277.0485
MEM 4637.039062 1677247277.1673
CHLD 0 232.488281 1677247277.1836
CHLD 1 353.523438 1677247277.1837
CHLD 2 335.851562 1677247277.1837
CHLD 3 334.351562 1677247277.1837
CHLD 4 585.875000 1677247277.1837
CHLD 5 298.488281 1677247277.1837
CHLD 6 322.675781 1677247277.1837
CHLD 7 523.359375 1677247277.1838
CHLD 8 341.644531 1677247277.1838
CHLD 9 314.167969 1677247277.1838
CHLD 10 369.234375 1677247277.1838
MEM 4668.667969 1677247277.2998
CHLD 0 232.488281 1677247277.3180
CHLD 1 355.808594 1677247277.3180
CHLD 2 336.003906 1677247277.3180
CHLD 3 334.351562 1677247277.3181
CHLD 4 585.875000 1677247277.3181
CHLD 5 321.453125 1677247277.3181
CHLD 6 323.437500 1677247277.3181
CHLD 7 523.359375 1677247277.3181
CHLD 8 341.644531 1677247277.3181
CHLD 9 316.324219 1677247277.3182
CHLD 10 422.265625 1677247277.3182
MEM 4873.332031 1677247277.4351
CHLD 0 232.488281 1677247277.4514
CHLD 1 355.808594 1677247277.4515
CHLD 2 336.003906 1677247277.4515
CHLD 3 373.148438 1677247277.4515
CHLD 4 284.449219 1677247277.4515
CHLD 5 327.722656 1677247277.4515
CHLD 6 407.839844 1677247277.4516
CHLD 7 523.363281 1677247277.4516
CHLD 8 354.480469 1677247277.4516
CHLD 9 316.324219 1677247277.4516
CHLD 10 677.757812 1677247277.4516
MEM 5079.292969 1677247277.5681
CHLD 0 232.488281 1677247277.5840
CHLD 1 355.808594 1677247277.5840
CHLD 2 345.808594 1677247277.5840
CHLD 3 373.285156 1677247277.5840
CHLD 4 324.585938 1677247277.5840
CHLD 5 381.328125 1677247277.5841
CHLD 6 521.968750 1677247277.5841
CHLD 7 523.363281 1677247277.5841
CHLD 8 360.742188 1677247277.5841
CHLD 9 316.324219 1677247277.5841
CHLD 10 595.722656 1677247277.5841
MEM 5398.894531 1677247277.7036
CHLD 0 232.488281 1677247277.7193
CHLD 1 355.808594 1677247277.7193
CHLD 2 352.414062 1677247277.7193
CHLD 3 375.718750 1677247277.7193
CHLD 4 329.230469 1677247277.7193
CHLD 5 531.457031 1677247277.7194
CHLD 6 521.968750 1677247277.7194
CHLD 7 523.363281 1677247277.7194
CHLD 8 360.742188 1677247277.7194
CHLD 9 339.058594 1677247277.7194
CHLD 10 595.722656 1677247277.7194
MEM 5590.019531 1677247277.8389
CHLD 0 232.488281 1677247277.8585
CHLD 1 381.769531 1677247277.8585
CHLD 2 352.414062 1677247277.8585
CHLD 3 581.757812 1677247277.8585
CHLD 4 466.777344 1677247277.8586
CHLD 5 531.457031 1677247277.8586
CHLD 6 521.968750 1677247277.8586
CHLD 7 294.675781 1677247277.8586
CHLD 8 360.800781 1677247277.8586
CHLD 9 338.457031 1677247277.8586
CHLD 10 595.722656 1677247277.8587
MEM 5810.703125 1677247277.9749
CHLD 0 232.488281 1677247277.9924
CHLD 1 381.910156 1677247277.9924
CHLD 2 352.414062 1677247277.9924
CHLD 3 633.863281 1677247277.9925
CHLD 4 531.585938 1677247277.9925
CHLD 5 531.457031 1677247277.9925
CHLD 6 521.968750 1677247277.9925
CHLD 7 320.855469 1677247277.9925
CHLD 8 360.800781 1677247277.9925
CHLD 9 338.457031 1677247277.9926
CHLD 10 595.722656 1677247277.9926
MEM 5843.371094 1677247278.1095
CHLD 0 232.488281 1677247278.1255
CHLD 1 381.914062 1677247278.1255
CHLD 2 352.468750 1677247278.1255
CHLD 3 633.863281 1677247278.1255
CHLD 4 531.585938 1677247278.1256
CHLD 5 531.457031 1677247278.1256
CHLD 6 521.968750 1677247278.1256
CHLD 7 324.972656 1677247278.1256
CHLD 8 360.800781 1677247278.1256
CHLD 9 364.089844 1677247278.1256
CHLD 10 595.722656 1677247278.1256
MEM 5788.378906 1677247278.2424
CHLD 0 232.488281 1677247278.2586
CHLD 1 381.914062 1677247278.2586
CHLD 2 354.468750 1677247278.2586
CHLD 3 633.863281 1677247278.2586
CHLD 4 531.585938 1677247278.2586
CHLD 5 531.457031 1677247278.2587
CHLD 6 521.968750 1677247278.2587
CHLD 7 325.027344 1677247278.2587
CHLD 8 364.828125 1677247278.2587
CHLD 9 375.621094 1677247278.2587
CHLD 10 296.441406 1677247278.2587
MEM 5784.843750 1677247278.3788
CHLD 0 232.488281 1677247278.3944
CHLD 1 393.988281 1677247278.3944
CHLD 2 354.468750 1677247278.3945
CHLD 3 633.863281 1677247278.3945
CHLD 4 531.585938 1677247278.3945
CHLD 5 531.457031 1677247278.3945
CHLD 6 521.968750 1677247278.3945
CHLD 7 325.027344 1677247278.3945
CHLD 8 364.828125 1677247278.3945
CHLD 9 375.621094 1677247278.3946
CHLD 10 299.132812 1677247278.3946
MEM 5860.863281 1677247278.5127
CHLD 0 232.488281 1677247278.5302
CHLD 1 397.980469 1677247278.5302
CHLD 2 354.468750 1677247278.5302
CHLD 3 633.863281 1677247278.5302
CHLD 4 531.585938 1677247278.5302
CHLD 5 531.457031 1677247278.5303
CHLD 6 521.968750 1677247278.5303
CHLD 7 341.925781 1677247278.5303
CHLD 8 364.828125 1677247278.5303
CHLD 9 437.980469 1677247278.5303
CHLD 10 301.332031 1677247278.5303
MEM 6057.148438 1677247278.6451
CHLD 0 232.488281 1677247278.6588
CHLD 1 397.980469 1677247278.6588
CHLD 2 354.468750 1677247278.6589
CHLD 3 633.863281 1677247278.6589
CHLD 4 531.585938 1677247278.6589
CHLD 5 531.457031 1677247278.6589
CHLD 6 296.687500 1677247278.6589
CHLD 7 347.992188 1677247278.6589
CHLD 8 364.828125 1677247278.6590
CHLD 9 661.035156 1677247278.6590
CHLD 10 301.339844 1677247278.6590
MEM 5985.777344 1677247278.7745
CHLD 0 232.488281 1677247278.7895
CHLD 1 397.980469 1677247278.7895
CHLD 2 354.468750 1677247278.7895
CHLD 3 633.863281 1677247278.7895
CHLD 4 531.585938 1677247278.7895
CHLD 5 531.457031 1677247278.7895
CHLD 6 298.800781 1677247278.7896
CHLD 7 349.597656 1677247278.7896
CHLD 8 364.828125 1677247278.7896
CHLD 9 552.539062 1677247278.7896
CHLD 10 301.339844 1677247278.7896
MEM 5999.316406 1677247278.9056
CHLD 0 232.488281 1677247278.9211
CHLD 1 397.980469 1677247278.9211
CHLD 2 354.468750 1677247278.9212
CHLD 3 633.863281 1677247278.9212
CHLD 4 531.585938 1677247278.9212
CHLD 5 260.007812 1677247278.9212
CHLD 6 300.359375 1677247278.9212
CHLD 7 349.597656 1677247278.9212
CHLD 8 368.964844 1677247278.9213
CHLD 9 552.539062 1677247278.9213
CHLD 10 319.621094 1677247278.9213
MEM 5973.207031 1677247279.0401
CHLD 0 232.488281 1677247279.0595
CHLD 1 397.980469 1677247279.0595
CHLD 2 354.468750 1677247279.0595
CHLD 3 633.863281 1677247279.0595
CHLD 4 531.585938 1677247279.0595
CHLD 5 296.226562 1677247279.0596
CHLD 6 300.359375 1677247279.0596
CHLD 7 349.597656 1677247279.0596
CHLD 8 368.964844 1677247279.0596
CHLD 9 552.539062 1677247279.0596
CHLD 10 323.769531 1677247279.0596
MEM 5857.875000 1677247279.1780
CHLD 0 232.488281 1677247279.1955
CHLD 1 402.117188 1677247279.1956
CHLD 2 356.468750 1677247279.1956
CHLD 3 633.863281 1677247279.1956
CHLD 4 531.585938 1677247279.1956
CHLD 5 300.097656 1677247279.1956
CHLD 6 314.085938 1677247279.1956
CHLD 7 349.597656 1677247279.1957
CHLD 8 368.964844 1677247279.1957
CHLD 9 552.539062 1677247279.1957
CHLD 10 323.769531 1677247279.1957
MEM 5783.371094 1677247279.3119
CHLD 0 232.488281 1677247279.3269
CHLD 1 402.117188 1677247279.3269
CHLD 2 356.468750 1677247279.3270
CHLD 3 373.285156 1677247279.3270
CHLD 4 531.585938 1677247279.3270
CHLD 5 300.097656 1677247279.3270
CHLD 6 314.085938 1677247279.3270
CHLD 7 349.597656 1677247279.3270
CHLD 8 383.097656 1677247279.3270
CHLD 9 552.539062 1677247279.3271
CHLD 10 323.769531 1677247279.3271
MEM 5794.324219 1677247279.4430
CHLD 0 232.488281 1677247279.4582
CHLD 1 402.117188 1677247279.4582
CHLD 2 356.468750 1677247279.4582
CHLD 3 373.285156 1677247279.4582
CHLD 4 531.585938 1677247279.4582
CHLD 5 311.250000 1677247279.4582
CHLD 6 314.085938 1677247279.4583
CHLD 7 349.644531 1677247279.4583
CHLD 8 395.199219 1677247279.4583
CHLD 9 552.539062 1677247279.4583
CHLD 10 323.769531 1677247279.4583
MEM 5826.386719 1677247279.5746
CHLD 0 232.488281 1677247279.5901
CHLD 1 402.117188 1677247279.5901
CHLD 2 356.468750 1677247279.5901
CHLD 3 373.285156 1677247279.5901
CHLD 4 531.585938 1677247279.5901
CHLD 5 311.250000 1677247279.5902
CHLD 6 314.085938 1677247279.5902
CHLD 7 349.656250 1677247279.5902
CHLD 8 395.199219 1677247279.5902
CHLD 9 552.539062 1677247279.5902
CHLD 10 323.769531 1677247279.5902
MEM 5814.648438 1677247279.7059
CHLD 0 232.488281 1677247279.7198
CHLD 1 402.117188 1677247279.7198
CHLD 2 356.468750 1677247279.7199
CHLD 3 392.003906 1677247279.7199
CHLD 4 296.683594 1677247279.7199
CHLD 5 311.250000 1677247279.7199
CHLD 6 314.085938 1677247279.7199
CHLD 7 349.656250 1677247279.7199
CHLD 8 395.199219 1677247279.7200
CHLD 9 552.539062 1677247279.7200
CHLD 10 323.769531 1677247279.7200
