CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
MEM 0.031250 1677509411.2732
MEM 31.097656 1677509411.4013
MEM 49.781250 1677509411.5274
MEM 61.796875 1677509411.6528
MEM 76.316406 1677509411.7778
MEM 86.996094 1677509411.9022
MEM 95.789062 1677509412.0271
MEM 103.949219 1677509412.1519
MEM 114.648438 1677509412.2759
MEM 119.054688 1677509412.3999
MEM 127.171875 1677509412.5236
MEM 133.726562 1677509412.6476
MEM 138.910156 1677509412.7718
MEM 142.542969 1677509412.8953
MEM 144.601562 1677509413.0185
MEM 149.289062 1677509413.1418
MEM 176.921875 1677509413.2657
MEM 181.929688 1677509413.3900
MEM 182.335938 1677509413.5145
MEM 193.246094 1677509413.6385
MEM 200.339844 1677509413.7627
MEM 224.429688 1677509413.8875
MEM 251.003906 1677509414.0115
MEM 1816.390625 1677509414.1372
CHLD 0 252.203125 1677509414.1501
CHLD 1 260.921875 1677509414.1502
CHLD 2 262.300781 1677509414.1502
CHLD 3 256.660156 1677509414.1502
CHLD 4 260.585938 1677509414.1502
CHLD 5 262.167969 1677509414.1502
CHLD 6 262.554688 1677509414.1502
MEM 3378.128906 1677509414.2659
CHLD 0 252.203125 1677509414.2801
CHLD 1 260.949219 1677509414.2802
CHLD 2 262.386719 1677509414.2802
CHLD 3 258.167969 1677509414.2802
CHLD 4 261.031250 1677509414.2802
CHLD 5 262.621094 1677509414.2802
CHLD 6 262.613281 1677509414.2802
CHLD 7 256.050781 1677509414.2803
CHLD 8 259.910156 1677509414.2803
CHLD 9 259.808594 1677509414.2803
CHLD 10 259.765625 1677509414.2803
CHLD 11 261.214844 1677509414.2803
MEM 4936.371094 1677509414.3961
CHLD 0 252.203125 1677509414.4100
CHLD 1 260.949219 1677509414.4100
CHLD 2 265.867188 1677509414.4100
CHLD 3 258.167969 1677509414.4100
CHLD 4 262.613281 1677509414.4101
CHLD 5 262.621094 1677509414.4101
CHLD 6 262.613281 1677509414.4101
CHLD 7 256.050781 1677509414.4101
CHLD 8 259.773438 1677509414.4101
CHLD 9 259.773438 1677509414.4102
CHLD 10 259.765625 1677509414.4102
CHLD 11 261.429688 1677509414.4102
CHLD 12 263.242188 1677509414.4102
CHLD 13 257.300781 1677509414.4102
CHLD 14 260.925781 1677509414.4102
CHLD 15 262.175781 1677509414.4102
CHLD 16 262.175781 1677509414.4103
CHLD 17 254.804688 1677509414.4103
CHLD 18 260.078125 1677509414.4103
MEM 6397.753906 1677509414.5279
CHLD 0 252.226562 1677509414.5449
CHLD 1 271.316406 1677509414.5449
CHLD 2 269.269531 1677509414.5450
CHLD 3 275.136719 1677509414.5450
CHLD 4 271.429688 1677509414.5450
CHLD 5 273.207031 1677509414.5450
CHLD 6 272.085938 1677509414.5450
CHLD 7 271.457031 1677509414.5450
CHLD 8 273.492188 1677509414.5451
CHLD 9 316.566406 1677509414.5451
CHLD 10 353.324219 1677509414.5451
CHLD 11 261.429688 1677509414.5451
CHLD 12 262.945312 1677509414.5451
CHLD 13 258.656250 1677509414.5451
CHLD 14 261.039062 1677509414.5452
CHLD 15 262.621094 1677509414.5452
CHLD 16 262.621094 1677509414.5452
CHLD 17 256.191406 1677509414.5452
CHLD 18 259.781250 1677509414.5452
CHLD 19 259.773438 1677509414.5452
CHLD 20 261.097656 1677509414.5453
CHLD 21 262.492188 1677509414.5453
CHLD 22 256.863281 1677509414.5453
CHLD 23 261.347656 1677509414.5453
MEM 8309.738281 1677509414.6632
CHLD 0 549.492188 1677509414.6806
CHLD 1 355.082031 1677509414.6806
CHLD 2 269.269531 1677509414.6806
CHLD 3 270.492188 1677509414.6806
CHLD 4 271.429688 1677509414.6807
CHLD 5 265.847656 1677509414.6807
CHLD 6 271.582031 1677509414.6807
CHLD 7 271.457031 1677509414.6807
CHLD 8 299.832031 1677509414.6807
CHLD 9 296.906250 1677509414.6807
CHLD 10 294.808594 1677509414.6807
CHLD 11 261.429688 1677509414.6808
CHLD 12 262.945312 1677509414.6808
CHLD 13 258.656250 1677509414.6808
CHLD 14 261.039062 1677509414.6808
CHLD 15 262.621094 1677509414.6808
CHLD 16 262.644531 1677509414.6808
CHLD 17 265.652344 1677509414.6809
CHLD 18 259.781250 1677509414.6809
CHLD 19 259.871094 1677509414.6809
CHLD 20 261.414062 1677509414.6809
CHLD 21 262.921875 1677509414.6809
CHLD 22 258.847656 1677509414.6809
CHLD 23 261.433594 1677509414.6810
CHLD 24 262.304688 1677509414.6810
CHLD 25 262.308594 1677509414.6810
CHLD 26 252.644531 1677509414.6810
CHLD 27 257.183594 1677509414.6810
CHLD 28 257.187500 1677509414.6810
CHLD 29 257.199219 1677509414.6811
MEM 10238.445312 1677509414.8003
CHLD 0 477.574219 1677509414.8180
CHLD 1 0.000000 1677509414.8180
CHLD 2 269.269531 1677509414.8180
CHLD 3 270.492188 1677509414.8180
CHLD 4 271.429688 1677509414.8181
CHLD 5 265.847656 1677509414.8181
CHLD 6 271.582031 1677509414.8181
CHLD 7 271.457031 1677509414.8181
CHLD 8 0.000000 1677509414.8181
CHLD 9 0.000000 1677509414.8181
CHLD 10 282.054688 1677509414.8182
CHLD 11 277.640625 1677509414.8182
CHLD 12 266.539062 1677509414.8182
CHLD 13 263.421875 1677509414.8182
CHLD 14 274.320312 1677509414.8182
CHLD 15 297.316406 1677509414.8182
CHLD 16 313.664062 1677509414.8183
CHLD 17 305.621094 1677509414.8183
CHLD 18 306.847656 1677509414.8183
CHLD 19 261.414062 1677509414.8183
CHLD 20 262.921875 1677509414.8183
CHLD 21 258.656250 1677509414.8183
CHLD 22 261.039062 1677509414.8183
CHLD 23 262.621094 1677509414.8184
CHLD 24 262.613281 1677509414.8184
CHLD 25 255.203125 1677509414.8184
CHLD 26 259.507812 1677509414.8184
CHLD 27 259.277344 1677509414.8184
CHLD 28 259.343750 1677509414.8184
CHLD 29 259.343750 1677509414.8185
CHLD 30 259.347656 1677509414.8185
CHLD 31 259.261719 1677509414.8185
CHLD 32 259.578125 1677509414.8185
CHLD 33 259.578125 1677509414.8185
CHLD 34 259.347656 1677509414.8185
CHLD 35 259.347656 1677509414.8186
CHLD 36 259.343750 1677509414.8186
MEM 11398.332031 1677509414.9372
CHLD 0 812.992188 1677509414.9541
CHLD 1 269.269531 1677509414.9541
CHLD 2 270.492188 1677509414.9542
CHLD 3 274.207031 1677509414.9542
CHLD 4 265.847656 1677509414.9542
CHLD 5 271.582031 1677509414.9542
CHLD 6 273.890625 1677509414.9542
CHLD 7 355.640625 1677509414.9542
CHLD 8 325.140625 1677509414.9543
CHLD 9 281.609375 1677509414.9543
CHLD 10 263.421875 1677509414.9543
CHLD 11 265.847656 1677509414.9543
CHLD 12 348.167969 1677509414.9543
CHLD 13 355.855469 1677509414.9543
CHLD 14 299.832031 1677509414.9544
CHLD 15 268.875000 1677509414.9544
CHLD 16 261.414062 1677509414.9544
